"fasta[, 1]",HM.COVID19.2e0.Molecules.1.,HM.COVID19.2e0.Molecules.2.,HM.COVID19.2e1.Molecules.1.,HM.COVID19.2e1.Molecules.2.,HM.COVID19.2e2.Molecules.1.,HM.COVID19.2e2.Molecules.2.,HM.COVID19.2e3.Molecules.,HM.COVID19.2e3.Molecules.1.,HM.COVID19.2e3.Molecules.2.,HM.COVID19.2e4.Molecules.1.,HM.COVID19.2e4.Molecules.2.,HM.COVID19.2e5.Molecules.1.,HM.COVID19.2e5.Molecules.2.,HM.COVID19.2eNEG1.Molecules.1.,HM.COVID19.2eNEG1.Molecules.2.,HM35.1.,HM35.2.,HM36.1.,HM36.2.,HM37.1.,HM37.2.,HM38.1.,HM38.2.,HM39.1.,HM39.2.,HM40.1.,HM40.2.,HM41.1.,HM41.2.,HM42.1.,HM42.2.,HM43.,HM44.,HM45.,HM46.,HM47.,HM48.,HM49.,HM50.,HM51.,HM52.,HM53.,HM54.,HM55.,HM56.,HM57.,HM58.,HM59.,HM60.,HM61.,HM62.,HM63.,HM64.,HM65.,HM66.,HM67.,HM68.,HM69.,HM70.,HM71.,HM72.,HM73.,HM74.,HM75.,HM76.,HM77.,HM78.,HM79.,HM80.,HM81.,HM82.,HM83.,HM84.,NLC.HM.COVID19.2e5.Molecules.,NLC.PRO.192.Adeno.CoronaHKU1.Rhino.Entero,NLC.PRO.195.ND.,NTC.,NTC.,NTC.,NTC.,NTC.,NTC.,PRO.191.ND.1.,PRO.191.ND.2.,PRO.192.Adeno.CoronaHKU1.Rhino.Entero.1,PRO.192.Adeno.CoronaHKU1.Rhino.Entero.2,PRO.195.ND.1.,PRO.195.ND.2.,PRO.198.ND.,PRO.198.ND.1.,PRO.198.ND.2.,PRO.248.InfluenzaB.1.,PRO.248.InfluenzaB.2.,PRO.261.CoronaOC43.,PRO.261.CoronaOC43.1.,PRO.261.CoronaOC43.2.,PRO.384.InfluenzaB.Rhino.Entero.1.,PRO.384.InfluenzaB.Rhino.Entero.2.,PRO.421.CoronaHKU1.1.,PRO.421.CoronaHKU1.2.,PRO.444.CoronaOC43.1.,PRO.444.CoronaOC43.2.,PRO.448.InfluenzaAH1N1.1.,PRO.448.InfluenzaAH1N1.2.,PRO.453.Corona229E.1.,PRO.453.Corona229E.2.,PRO.472.CoronaNL63.1.,PRO.472.CoronaNL63.2.,PRO.483.InfluenzaAH3.1.,PRO.483.InfluenzaAH3.2.,PRO.497.InfluenzaAH1N1.Rhino.Entero.1.,PRO.497.InfluenzaAH1N1.Rhino.Entero.2.,PRO.590.CoronaNL63.1.,PRO.590.CoronaNL63.2.,PRO.609.Corona229E.1.,PRO.609.Corona229E.2.
CA_18804_P13L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA_18804_P8L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN_32045_P7L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA_25923_P5L,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HI_10211_P33L,0,0,1,1,1,1,1138,11,1,1,1,2,8,17,0,129,0,0,17,5,57,37,0,7,271,0,0,21,0,0,1,47,132,0,0,0,274,17,0,108,439,0,80,0,0,0,0,97,0,46,508,0,232,191,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,5,0,2,0,2,0,0,37,1,0,1,22,1,0,0,9,0,1,1,0,0,4,2,1,2,1,2,1,0,2,1,2,1,5,0,0,5,2,2,1,1,3
HI_10211_P42L,0,0,1,0,0,0,0,7,13,0,0,1,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,428,0,0,0,0,16,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,518,0,0,0,0,3,0,0,0,0,0,33,0,8,1,0,0,6,1,0,0,2,1,0,0,383,1,1,0,0,1,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0
HI_10211_P5L,3,1,1,0,0,0,0,9,3,0,0,1,3,10,0,1,0,1,0,23,0,48,203,112,0,0,0,9,0,0,0,2,0,0,24,0,34,10,21,97,0,225,0,0,0,0,195,241,0,0,315,508,0,0,0,0,0,0,0,994,175,0,0,0,0,0,0,0,0,403,0,0,0,2,0,0,0,0,0,0,190,7,1,1,3,16,0,0,270,4,1,0,1,0,4,4,0,0,1,1,0,0,0,1,2,2,0,0,1,1,0,1,1,0,2,0
PA_10145_P28L,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PA_10145_P17L,0,0,2,1,0,0,1289,6,0,1,0,2,3,17,0,387,0,0,0,0,68,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,550,0,0,0,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,1,0,0,1,25,406,1217,1,1,0,9,0,1,0,2,2,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,3,1
PA_10145_P11L,1,0,1,0,1,0,0,3,2,0,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,60,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,0,0,0,0,0,0,0,540,0,0,0,0,1,0,0,0,0,1,0,0,9,0,0,1,6,0,0,0,2,0,1,0,1031,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,2,0,2,1,0
